Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.11,68,21,6.6,27,Magic Pockets,E
Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0.01,,,,,"",""
Jupiter Strike,PS,1994,Shooter,Acclaim Entertainment,0.06,0.04,0.01,,,,,"",""
Irozuki Tingle no Koi no Balloon Trip,DS,2009,Adventure,Nintendo,0,0,0,,,,,"",""
The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.44,0.3,0.09,78,65,8.7,95,Headstrong Games,M
The Final Round,PS,1996,Sports,Konami Digital Entertainment,0.04,0.03,0,,,,,"",""
Way of the Samurai 3,PS3,2008,Action,Gamebridge,0.18,0.08,0.04,58,18,7.9,22,Acquire,M
Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0.17,92,55,8.1,220,Harmonix Music Systems,T
Captain America: Super Soldier,DS,,Action,Sega,0.05,0,0,,,,,"",""
Tomb Raider: Underworld,PC,2008,Action,Eidos Interactive,0,0.06,0.01,80,20,7.7,272,Nixxes Software,T
Summon Night Granthese: Horobi no Ken to Yakusoku no Kishi,PS2,2010,Role-Playing,Namco Bandai Games,0,0,0,,,,,"",""
Empire Earth,PC,2001,Strategy,Vivendi Games,0,0.04,0.01,81,23,8.2,126,Stainless Steel Studios,T
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,2.45,0.52,91,56,7.6,203,EA Sports,E
Abunai: Koi no Sousa Shitsu,PSV,2015,Action,Asgard,0,0,0,,,,,"",""
Crackdown,X360,2007,Shooter,Microsoft Game Studios,1,0.53,0.18,83,75,8,340,Realtime Worlds,M
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0,,,,,"",""
Scarface: Money. Power. Respect.,PSP,2006,Strategy,Vivendi Games,0.15,0,0.01,58,12,3.1,15,Radical Entertainment,M
MLB 14: The Show,PS3,2014,Sports,Sony Computer Entertainment America,0.35,0,0.08,81,26,6.8,79,SCEA San Diego Studios,E
Ratchet & Clank: Size Matters,PS2,2008,Platform,Sony Computer Entertainment,0.13,0.1,0.03,,,,,"",""
Shaman King: Chou Senjiryokketsu 3,GBA,2002,Role-Playing,King Records,0,0,0,,,,,"",""
Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision,0.66,0.4,0.05,78,46,5.1,27,Treyarch,T
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006,Misc,Rocket Company,0,0,0,,,,,"",""
God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.63,0.35,80,89,7.5,914,SCE Santa Monica,M
EverGrace,PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.03,59,12,7.8,4,From Software,T
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,0.13,0.2,0.04,70,30,6.3,7,Activision,E10+
Shutter Island,PC,2009,Adventure,Merscom LLC,0,0.17,0.03,,,,,Merscom LLC,T
Major League Baseball 2K12,PSP,2012,Sports,Take-Two Interactive,0.08,0,0.01,,,,,Visual Concepts,E
Ape Escape,PS3,2010,Platform,Sony Computer Entertainment,0,0.03,0.01,,,,,"",""
Wasteland 2,XOne,2015,Role-Playing,Deep Silver,0.04,0.01,0.01,77,13,7.1,56,InXile Entertainment,M
Bravo Air Race,PS,1997,Racing,THQ,0.08,0.05,0.01,,,,,"",""
Tamagotchi Collection,DS,2011,Misc,Namco Bandai Games,0,0,0,,,,,"",""
Toy Story 3: The Video Game,PSP,2010,Action,Disney Interactive Studios,0.27,0.24,0.14,,,,,"",""
Take On Helicopters,PC,2011,Simulation,Unknown,0,0.02,0.01,70,10,6.7,28,Bohemia Interactive,T
LEGO Harry Potter: Years 5-7,PS3,,Action,Warner Bros. Interactive Entertainment,0.36,0.41,0.15,76,27,8.3,48,Traveller's Tales,E10+
Chicken Blaster,DS,2009,Shooter,Zushi Games,0.04,0,0,,,,,Zoo Games,E10+
A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0.01,,,,,"",""
SingStar Pop Hits,PS2,2007,Misc,Sony Computer Entertainment,0,0.5,0.15,,,,,"",""
Crash: Twinsanity,XB,2004,Platform,Vivendi Games,0.11,0.03,0.01,66,30,8.7,29,Traveller's Tales,E
FIFA 12,3DS,2011,Sports,Electronic Arts,0.08,0.26,0.05,,,,,"",""
Machine Head,PS,1996,Shooter,Eidos Interactive,0.04,0.03,0,,,,,"",""
Hikaru no Go: Heian Gensou Ibunroku,PS,2002,Adventure,Konami Digital Entertainment,0,0,0,,,,,"",""
We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0,0.29,0.04,,,,,"",""
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.85,93,113,7.9,7064,Naughty Dog,T
Major League Baseball 2K13,PS3,2013,Sports,Take-Two Interactive,0.14,0,0.02,,,,,"",""
The Quest Trio,DS,2008,Puzzle,Avanquest,0.13,0,0.01,,,,,Activision,E
Mario & Luigi: Paper Jam,3DS,2015,Role-Playing,Nintendo,0.16,0.29,0.04,,,,,"",""
Slayers,SNES,1994,Role-Playing,Banpresto,0,0,0,,,,,"",""
Iridion II,GBA,2003,Shooter,Vivendi Games,0.09,0.03,0,78,13,,,Shin'en,E
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.32,0.15,77,32,7.9,187,CyberConnect2,T
Top Spin,PS2,2005,Sports,Take-Two Interactive,0.05,0.04,0.01,67,28,7.8,12,Pam Development,E
Injustice: Gods Among Us,PSV,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0,0.03,,,,,"",""
Nectaris: Military Madness,PS,1998,Strategy,Hudson Soft,0.02,0.01,0,,,,,"",""
Sniper Elite,PC,2005,Shooter,MC2 Entertainment,0,0.01,0,76,13,8,142,Rebellion,M
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,2.42,83,21,5.3,922,Treyarch,M
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,Nihon Falcom Corporation,0,0,0,,,,,"",""
Beat Sketch!,PS3,2010,Misc,Sony Computer Entertainment,0,0,0,,,,,"",""
BloodRayne,GC,2002,Shooter,Universal Interactive,0.09,0.02,0,73,17,8.5,4,Terminal Reality,M
Dance Dance Revolution: Mario Mix,GC,2005,Misc,Nintendo,0.36,0.09,0.01,69,28,8.4,19,Hudson,E
Rush,PSP,2006,Racing,Midway Games,0.11,0,0.01,55,12,,,Midway Studios - Newcastle,T
Midway Arcade Treasures 3,XB,2005,Misc,Midway Games,0.06,0.02,0,68,29,,,Digital Eclipse,E
F1 2002,GBA,2002,Racing,"Destination Software, Inc",0.01,0.01,0,,,,,Magic Pockets,E
Vietcong: Purple Haze,PS2,2004,Shooter,Gathering of Developers,0.09,0.07,0.02,48,11,4.3,6,Coyote Developments,M
Total Immersion Racing,XB,2002,Racing,Empire Interactive,0.02,0.01,0,60,7,,,Razorworks Studios,E
Moon,PS,1997,Adventure,ASCII Entertainment,0,0,0.01,,,,,"",""
SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,THQ,0.24,0.11,0.04,,,,,THQ,E
Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1.44,1.01,0.3,,,,,"",""
Secret Weapons Over Normandy,PS2,2003,Simulation,LucasArts,0.24,0.18,0.06,81,26,8.2,19,Totally Games,T
Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005,Action,Activision,0.09,0.07,0.02,68,13,8.1,15,Krome Studios,E10+
Backyard Baseball '09,PS2,2008,Sports,Atari,0.01,0.01,0,,,,,Humongous Entertainment,E
Plants vs. Zombies: Garden Warfare,PC,2014,Shooter,Electronic Arts,0,0.02,0,78,11,7.8,186,PopCap,E10+
Kurogane Kaikitan,PSV,2015,Adventure,Minato Station,0,0,0,,,,,"",""
Highschool Terra Story,SAT,1998,Adventure,KID,0,0,0,,,,,"",""
NASCAR 2011: The Game,Wii,2011,Racing,Activision,0.21,0,0.01,42,5,3.1,9,Eutechnyx,E
Men of War,PC,2009,Strategy,505 Games,0.01,0.02,0,80,22,8.1,136,Best Way,M
LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,0.6,0.01,0.76,77,12,8.4,16,Traveller's Tales,E10+
NFL Blitz 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0,72,11,,,Point of View,E
Wallace & Gromit in Project Zoo,PS2,2003,Platform,BAM! Entertainment,0.11,0.09,0.03,,,,,"",""
Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,2012,Role-Playing,Acquire,0,0,0,,,,,"",""
Mafia II,X360,2010,Action,Take-Two Interactive,0.85,0.55,0.15,74,79,7.8,458,2K Czech,M
Jenga World Tour,Wii,2007,Misc,Atari,0.05,0,0,26,14,2.8,11,Atomic Planet Entertainment,E
CMT Presents: Karaoke Revolution Country,PS2,2006,Misc,Konami Digital Entertainment,0.03,0.02,0.01,71,24,,,Harmonix Music Systems,E10+
Catherine,PS3,2011,Adventure,Deep Silver,0.3,0.14,0.06,79,61,8.1,372,Atlus,M
EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.27,0.12,78,20,5.4,14,EA Canada,E
Super Monkey Ball: Touch & Roll,DS,2005,Misc,Sega,0.69,0,0.06,,,,,"",""
BloodRayne 2,XB,2004,Shooter,THQ,0.11,0.03,0.01,71,35,8.5,4,Terminal Reality,M
Cabela's Trophy Bucks,X360,2007,Sports,Activision Value,0.04,0,0,39,4,3,4,FUN Labs,T
Zumba Fitness: World Party,Wii,2013,Misc,Majesco Entertainment,0.11,0.1,0.02,,,,,Zoe Mode,E
NBA 2K13,PS3,2012,Sports,Take-Two Interactive,1.73,0.43,0.27,90,26,8,99,Visual Concepts,E
LEGO Batman 2: DC Super Heroes,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.41,0.28,0.06,72,6,5.2,25,TT Games,E10+
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.88,0.25,89,59,8.2,892,Gearbox Software,M
SSX,PS3,2012,Sports,Electronic Arts,0.35,0.41,0.14,81,38,6.8,110,EA Canada,E
Naruto Shippuden: Gekito Ninja Taisen! EX 3,Wii,2008,Fighting,Takara Tomy,0,0,0,,,,,"",""
Project X Zone 2: Brave New World,3DS,2015,Role-Playing,Namco Bandai Games,0.05,0.03,0.01,,,,,"",""
Tokyo Friend Park II DS,DS,2006,Misc,Rocket Company,0,0,0,,,,,"",""
Hi-Octane: The Track Fights Back!,PS,1995,Racing,Electronic Arts,0.03,0.02,0,,,,,"",""
Gex 64: Enter the Gecko,N64,1998,Action,GT Interactive,0.2,0.05,0,,,,,"",""
Petz: Horsez 2,Wii,2007,Simulation,Ubisoft,0.39,0,0.03,,,,,Phoenix Games Studio,E
Ghost Pirates of Vooju Island,PC,2009,Adventure,DTP Entertainment,0,0.02,0,66,14,,,Autumn Moon,T
Ben 10 Omniverse 2,X360,2013,Action,Namco Bandai Games,0,0.01,0,,,5.1,9,High Voltage Software,E10+
Dance Dance Revolution (North America),PS,2001,Simulation,Konami Digital Entertainment,0.08,0.06,0.01,,,,,"",""
Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,0.51,0.01,0.04,,,,,Collision Studios,E
Battle Spirits: Kiseki no Hasha,PSP,2009,Role-Playing,Namco Bandai Games,0,0,0,,,,,"",""
Driven,PS2,2001,Racing,BAM! Entertainment,0.08,0.06,0.02,38,10,3.4,5,Bam Entertainment,T
Dream Salon,Wii,2009,Misc,Zoo Games,0.05,0,0,,,,,Zoo Games,E
Assault,2600,1982,Action,Bomb,0.21,0.01,0,,,,,"",""
Kidou Senshi Gundam: Extreme VS,PS3,2011,Fighting,Namco Bandai Games,0,0,0,,,,,"",""
MVP Baseball 2005,PS2,2005,Sports,Electronic Arts,1.26,0.07,0.21,87,25,8.6,47,EA Sports,E
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.34,0.13,0.01,81,25,9.6,116,TOSE,E
Madden NFL 08,PSP,2007,Sports,Electronic Arts,0.6,0.04,0.07,75,10,6.8,8,EA Tiburon,E
Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.46,0.17,0.01,,,,,"",""
Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,0.67,0.01,0.06,70,19,8.8,31,JGI Entertainment,M
Criticom,PS,1996,Fighting,Vic Tokai,0.07,0.05,0.01,,,,,"",""
Toy Story 3: The Video Game,DS,2010,Action,Disney Interactive Studios,0.89,0.94,0.21,,,,,"",""
Myst,PC,1994,Adventure,Red Orb,0.02,2.79,0,,,,,"",""
Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0.06,,,,,"",""
Disney's Kim Possible 3: Team Possible,GBA,2005,Platform,Disney Interactive Studios,0.33,0.12,0.01,76,6,7.7,6,Artificial Mind and Movement,E
Rock Band Country Track Pack,X360,2009,Misc,MTV Games,0.22,0,0.02,66,4,,,Harmonix Music Systems,E10+
Summon Night,DS,2008,Role-Playing,Banpresto,0,0,0,,,,,"",""
How to Train Your Dragon,Wii,2010,Action,Activision,0.23,0.15,0.04,59,11,7,4,Etranges Libellules,E10+
Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0.12,90,52,8.8,114,Criterion Games,E10+
Superman: Shadow of Apokolips,PS2,2002,Action,Atari,0.21,0.16,0.05,64,22,7.2,9,Atari,E
Cabela's Legendary Adventures,PSP,2008,Sports,Activision,0.16,0,0.02,,,,,FUN Labs,T
Need for Speed: The Run,3DS,2011,Action,Electronic Arts,0.09,0.09,0.02,65,9,6,26,Firebrand Games,E10+
Cake Mania 3,DS,2009,Simulation,Majesco Entertainment,0.13,0,0.01,,,,,"Sandlot Games, Digital Embryo",E
Tom and Jerry in House Trap,PS,2000,Action,Ubisoft,0.11,0.07,0.01,,,,,"",""
Power Rangers: Dino Thunder,PS2,2004,Action,THQ,0.35,0.27,0.09,49,6,6.2,5,Pacific Coast Power & Light,E
Britney's Dance Beat,GBA,2002,Misc,THQ,0.15,0.06,0,53,14,7.4,5,Art,E
MAPLUS: Portable Navi 3,PSP,2009,Misc,Edia,0,0,0,,,,,"",""
Backyard NFL Football,GBA,2002,Sports,Infogrames,0.4,0.15,0.01,,,,,"",""
Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,0.4,0.15,0.01,,,,,"",""
Tringo,GBA,2006,Puzzle,Liquid Games,0.01,0,0,,,,,Crave,E
Soukaigi,PS,1998,Role-Playing,SquareSoft,0,0,0.01,,,,,"",""
PopStar Guitar,PS2,2008,Misc,XS Games,0.02,0.01,0,,,,,XS Games,T
Pet Pals: Animal Doctor,Wii,2008,Simulation,JoWood Productions,0.13,0,0.01,,,,,Legacy Interactive,E10+
Little League World Series Baseball 2008,DS,2008,Sports,Activision,0.06,0,0,61,5,,,Black Lantern Studios,E
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment,0.01,0.05,0.01,,,7.2,19,Konami,E
Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,1.04,1.22,0.27,,,,,"",""
Jump Super Stars,DS,2005,Fighting,Nintendo,0,0,0,,,,,"",""
Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.49,0.34,0.15,75,32,8.6,95,CyberConnect2,T
Trick x Logic: Season 2,PSP,2010,Adventure,Sony Computer Entertainment,0,0,0,,,,,"",""
The Oregon Trail,3DS,2011,Simulation,Crave Entertainment,0.12,0,0.01,,,,,"",""
Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.17,0.1,79,16,7.8,33,Ubisoft,E10+
Sonic & All-Stars Racing Transformed,PS3,2012,Racing,Sega,0.08,0.3,0.09,,,,,"",""
Tales of Graces f,PS3,2010,Role-Playing,Namco Bandai Games,0.28,0.18,0.07,77,55,8.2,336,Namco Bandai Games,T
Mortimer Beckett and the Secrets of Spooky Manor,Wii,2008,Puzzle,Avanquest,0.04,0,0,56,4,,,Paprikari,E
Bleach: Heat the Soul 7,PSP,2010,Fighting,Sony Computer Entertainment,0,0,0,,,,,"",""
Ultimate Ghosts 'n Goblins,PSP,2006,Platform,Capcom,0.07,0,0.01,72,49,7.7,18,TOSE,E10+
Line Rider 2: Unbound,DS,2008,Puzzle,Deep Silver,0.07,0,0.01,59,23,5.6,5,InXile Entertainment,E
Madden NFL 13,PSV,2012,Sports,Electronic Arts,0.28,0,0.02,63,6,7.3,38,EA Tiburon,E
Europa Universalis III Complete,PC,2008,Strategy,Paradox Interactive,0,0.02,0,,,8.7,6,Paradox Development Studio,E10+
Dead Space Extraction,Wii,2009,Shooter,Electronic Arts,0.32,0.1,0.04,82,76,8.1,82,"Eurocom Entertainment Software, Visceral Games",M
Hot Wheels: Track Attack,Wii,2010,Racing,THQ,0.14,0.03,0.01,,,,,Firebrand Games,E
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.19,80,6,4.9,123,Ghost Games,E10+
Mary-Kate and Ashley: Magical Mystery Mall,PS,2000,Adventure,Acclaim Entertainment,0.36,0.24,0.04,,,,,"",""
Wetrix,N64,1998,Puzzle,Ocean,0.06,0.02,0,,,,,"",""
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.01,80,23,7.3,73,Falcom,T
NHL Rivals 2004,XB,2003,Sports,Microsoft Game Studios,0.08,0.02,0,65,39,8.8,20,Microsoft Game Studios,E
Motto NUGA-CEL!,PSP,2010,Adventure,Idea Factory,0,0,0,,,,,"",""
Phantom Dust,XB,2004,Action,Microsoft Game Studios,0.08,0.02,0,81,37,8.5,35,Microsoft Game Studios Japan,T
Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment,0.06,0.04,0.02,,,,,"",""
Big Bass World Championship,PS,1997,Sports,Starfish,0.2,0.14,0.02,,,,,"",""
Dragon Age Origins: Awakening,X360,2010,Role-Playing,Electronic Arts,0.33,0.1,0.04,,,,,"",""
Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest,0,0.02,0,31,22,4.5,66,"The Digital Lounge, Dino Dini",""
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0.14,75,43,8.5,84,Midway,M
Smashing Drive,GBA,2004,Racing,Zoo Digital Publishing,0.02,0.01,0,,,,,Raylight Studios,E
Checkers,2600,1980,Misc,Atari,0.22,0.01,0,,,,,"",""
The Sims 3: Barnacle Bay,PC,2011,Simulation,Electronic Arts,0.07,0,0.01,,,6.7,9,Maxis,T
LEGO Racers 2,PS2,2001,Racing,Electronic Arts,0.06,0.05,0.02,58,4,,,Attention Software,E
Rocksmith 2014,PS3,2013,Misc,Ubisoft,0.53,0.24,0.16,,,,,"",""
Metal Arms: Glitch in the System,GC,2003,Shooter,Vivendi Games,0.08,0.02,0,83,30,9.3,19,Swingin' Ape,T
Up,PS2,2009,Action,THQ,0.19,0.05,0.24,,,,,Asobo Studio,E
Time Travelers,PSV,2012,Adventure,Level 5,0,0,0,,,,,"",""
Fire Emblem: Monsh? no Nazo,SNES,1994,Role-Playing,Nintendo,0,0,0,,,,,"",""
The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.08,66,20,8,35,DreamFactory,T
Indiana Jones and the Emperor's Tomb,XB,2003,Action,LucasArts,0.14,0.04,0.01,73,43,8.6,17,Double Helix Games,T
Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.09,74,35,8.1,39,Ubisoft Romania,T
GRID Autosport,PC,2014,Racing,Codemasters,0,0.02,0,78,35,6.2,257,Codemasters,E
Starry ? Sky: In Winter,PSP,2011,Misc,Asgard,0,0,0,,,,,"",""
NHL 99,N64,1998,Sports,Electronic Arts,0.38,0.01,0,,,,,"",""
Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010,Action,Tecmo Koei,0,0,0,,,,,"",""
Mega Man: Battle & Chase,PS,1997,Racing,Capcom,0,0,0,,,,,"",""
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.01,71,53,8.3,55,CyberConnect2,T
Madden NFL 12,PSP,2011,Sports,Electronic Arts,0.21,0,0.02,,,,,EA Tiburon,E
Again,DS,2009,Adventure,Ackkstudios,0.07,0,0,,,,,"",""
SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004,Misc,N/A,0.15,0.05,0,,,,,"",""
Risen 3: Titan Lords,PS3,2014,Role-Playing,Deep Silver,0.02,0.05,0.01,36,8,3.7,77,Piranha Bytes,M
Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.71,1.46,0.58,,,,,"",""
The Professor's Brain Trainer: Logic,DS,2005,Puzzle,505 Games,0.02,0,0,,,,,"",""
Lode Runner,DS,2006,Puzzle,Hudson Entertainment,0,0,0,,,,,"",""
TimeSplitters: Future Perfect,XB,2005,Shooter,Electronic Arts,0.12,0.03,0.01,83,54,8.9,35,Free Radical Design,M
EA Sports Active 2,X360,2010,Sports,Electronic Arts,0.18,0.16,0.04,68,21,5.4,9,EA Canada,E
Madagascar: Escape 2 Africa,PS3,2008,Action,Activision,0.12,0.08,0.03,58,13,6.8,4,Toys for Bob,E10+
Soul Eater: Plot of Medusa,DS,2008,Action,Namco Bandai Games,0,0,0,,,,,"",""
UEFA Champions League 2006-2007,PSP,2007,Sports,Electronic Arts,0.01,0,0,71,14,,,EA Canada,E
Rayman Legends,PSV,2014,Platform,Ubisoft,0.01,0.1,0.03,87,8,8.4,159,Ubisoft Montpellier,E10+
Kana: Imouto,PSP,2010,Adventure,CyberFront,0,0,0,,,,,"",""
The Hobbit,GBA,2003,Platform,Vivendi Games,0.14,0.05,0,67,6,9.2,17,Saffire,E
Hannah Montana: The Movie,X360,2009,Adventure,Disney Interactive Studios,0.14,0.05,0.02,25,4,3.8,48,n-Space,E
Prey the Stars,DS,2008,Action,Tecmo Koei,0.07,0,0.01,66,12,,,Koei Canada,E
Crash of the Titans,Wii,2007,Action,Vivendi Games,0.39,0.02,0.03,69,16,5.8,22,Radical Entertainment,E10+
Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo,0.63,0.06,0.04,,,,,"",""
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.09,87,62,7.9,131,Codemasters,E
Ennichi no Tatsujin,Wii,2006,Misc,Namco Bandai Games,0,0,0,,,,,"",""
Devil Survivor: Over Clock,3DS,2015,Strategy,Atlus,0,0,0,,,,,"",""
Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.06,87,35,8.6,44,Team Ninja,T
MotoGP 14,PS3,2014,Racing,Milestone S.r.l.,0.05,0.05,0.02,,,,,Milestone S.r.l,E
F1 2002,GC,2002,Racing,Electronic Arts,0.02,0.01,0,72,7,7.8,4,EA Sports,E
Burnout Revenge,XB,2005,Racing,Electronic Arts,0.32,0.19,0.01,89,65,8.4,66,Criterion Games,E10+
Kinetica,PS2,2001,Racing,Sony Computer Entertainment,0.16,0.12,0.04,77,21,8.3,21,SCE Santa Monica,T
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0,0.04,63,32,7.8,16,Climax Group,E
FabStyle,3DS,2011,Strategy,Tecmo Koei,0,0,0,,,,,"",""
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0.01,79,17,9,4,Software Creations,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,1.6,94,67,6.3,2073,Infinity Ward,M
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,SAT,1995,Misc,Sega,0,0,0,,,,,"",""
Batman: Dark Tomorrow,GC,2003,Action,Kemco,0.06,0.02,0,29,14,3.2,19,Kemco,T
Herc's Adventures,PS,1997,Action,Virgin Interactive,0.02,0.01,0,,,,,"",""
R.C. Pro-Am,NES,1988,Racing,Nintendo,1.47,0.38,0.1,,,,,"",""
Winter Sports 3: The Great Tournament,X360,2010,Sports,Tradewest,0,0.01,0,,,,,49Games,E
Breath of Fire III,PSP,2005,Role-Playing,Capcom,0,0.02,0.01,,,9.7,6,Capcom,T
Need for Speed: Hot Pursuit 2,XB,2002,Racing,Electronic Arts,0.68,0.11,0.03,75,18,6.4,15,EA Seattle,E
Goal Storm '97,PS,1996,Sports,Konami Digital Entertainment,0.01,0,0.01,,,,,"",""
