<TICKER>;<PER>;<DATE>;<TIME>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Возрожд-п;W;22/08/11;00:00;330;310;310.59;1280
Возрожд-п;W;29/08/11;00:00;331.28;305;311.58;1750
Возрожд-п;W;05/09/11;00:00;340;310;329.8;2350
Возрожд-п;W;12/09/11;00:00;330;305.04;323;890
Возрожд-п;W;19/09/11;00:00;315;250.01;252.2;20880
Возрожд-п;W;26/09/11;00:00;260;228.01;245;2510
Возрожд-п;W;03/10/11;00:00;262.4;205.21;235;4160
Возрожд-п;W;10/10/11;00:00;437.99;214.46;374.95;25850
Возрожд-п;W;17/10/11;00:00;379;305.05;353.99;7870
Возрожд-п;W;24/10/11;00:00;380;315;315.99;12340
Возрожд-п;W;31/10/11;00:00;319;191.15;300;5370
Возрожд-п;W;07/11/11;00:00;319;293.09;308.99;8760
Возрожд-п;W;14/11/11;00:00;302;261.5;290;4460
Возрожд-п;W;21/11/11;00:00;332.83;276.01;287.99;2940
Возрожд-п;W;28/11/11;00:00;318;285.05;298.87;1590
Возрожд-п;W;05/12/11;00:00;298.98;282;282;690
Возрожд-п;W;12/12/11;00:00;298.99;260;265.21;1780
Возрожд-п;W;19/12/11;00:00;299;250.04;278.97;3670
Возрожд-п;W;26/12/11;00:00;279;245.03;248;1520
Возрожд-п;W;02/01/12;00:00;277.74;235;242;1140
Возрожд-п;W;09/01/12;00:00;300;233.33;267.01;4650
Возрожд-п;W;16/01/12;00:00;279.99;261.11;263.99;8150
Возрожд-п;W;23/01/12;00:00;290;260;275.94;41020
Возрожд-п;W;30/01/12;00:00;276;265;270.74;7540
Возрожд-п;W;06/02/12;00:00;307;253;253;2940
Возрожд-п;W;13/02/12;00:00;264.99;242.01;249.85;10820
Возрожд-п;W;20/02/12;00:00;258;248;254.27;8990
Возрожд-п;W;27/02/12;00:00;254.35;224;231.99;26640
Возрожд-п;W;05/03/12;00:00;234.44;220.26;227.13;6950
Возрожд-п;W;12/03/12;00:00;237;221;230;13300
Возрожд-п;W;19/03/12;00:00;263;226;250;31520
Возрожд-п;W;26/03/12;00:00;255;246.5;248.74;8480
Возрожд-п;W;02/04/12;00:00;250.97;235;236;8200
Возрожд-п;W;09/04/12;00:00;249;236.02;247.98;2350
Возрожд-п;W;16/04/12;00:00;249.96;235.08;245;4040
Возрожд-п;W;23/04/12;00:00;248.98;231.33;240.03;3300
Возрожд-п;W;30/04/12;00:00;245;230;234.99;2550
Возрожд-п;W;07/05/12;00:00;235;225;225.01;1260
Возрожд-п;W;14/05/12;00:00;224;192.36;200.04;5300
Возрожд-п;W;21/05/12;00:00;205;182.57;193;2250
Возрожд-п;W;28/05/12;00:00;209.59;188.05;188.12;1380
Возрожд-п;W;04/06/12;00:00;200;188.15;195;220
Возрожд-п;W;11/06/12;00:00;198.95;188.44;198.95;230
Возрожд-п;W;18/06/12;00:00;200;183.1;188.01;3560
Возрожд-п;W;25/06/12;00:00;189.99;180.04;186;6830
Возрожд-п;W;02/07/12;00:00;186;182;184;7640
Возрожд-п;W;09/07/12;00:00;185.97;176.07;180;3190
Возрожд-п;W;16/07/12;00:00;191.89;173.84;179;880
Возрожд-п;W;23/07/12;00:00;180;165.01;172.83;8800
Возрожд-п;W;30/07/12;00:00;179.85;166.12;173.05;11880
Возрожд-п;W;06/08/12;00:00;183.96;174;175;5390
Возрожд-п;W;13/08/12;00:00;186;170.34;176.01;1330
Возрожд-п;W;20/08/12;00:00;195;171.17;186;10290
Возрожд-п;W;27/08/12;00:00;188;178.11;184.99;3890
Возрожд-п;W;03/09/12;00:00;187.99;176.99;185;4080
Возрожд-п;W;10/09/12;00:00;198;178.7;193;4390
Возрожд-п;W;17/09/12;00:00;198.8;181.91;188.79;6640
Возрожд-п;W;24/09/12;00:00;190.98;175.04;182.07;2620
Возрожд-п;W;01/10/12;00:00;187.87;179.95;186.93;950
Возрожд-п;W;08/10/12;00:00;188.96;176.11;176.11;1110
Возрожд-п;W;15/10/12;00:00;182;178;178;210
Возрожд-п;W;22/10/12;00:00;186.44;170;173.98;790
Возрожд-п;W;29/10/12;00:00;184.9;147.03;180;3430
Возрожд-п;W;05/11/12;00:00;184.5;155.1;168.2;2990
Возрожд-п;W;12/11/12;00:00;168.98;160.2;162.1;510
Возрожд-п;W;19/11/12;00:00;172.82;164;167;860
Возрожд-п;W;26/11/12;00:00;167.5;130.7;142.89;34320
Возрожд-п;W;03/12/12;00:00;148.97;138;143.85;10210
Возрожд-п;W;10/12/12;00:00;148.64;140.14;142.08;4010
Возрожд-п;W;17/12/12;00:00;142.19;133.77;136.86;5240
Возрожд-п;W;24/12/12;00:00;140.75;135;140.75;7740
Возрожд-п;W;07/01/13;00:00;159.96;140.62;155.97;10060
Возрожд-п;W;14/01/13;00:00;167.97;150.17;160;16750
Возрожд-п;W;21/01/13;00:00;161.97;152.05;156.95;3480
Возрожд-п;W;28/01/13;00:00;166.98;157.99;162.5;5140
Возрожд-п;W;04/02/13;00:00;162.49;150;159.99;5180
Возрожд-п;W;11/02/13;00:00;161.89;155.33;158;1960
Возрожд-п;W;18/02/13;00:00;161.95;152;156;2630
Возрожд-п;W;25/02/13;00:00;159.59;150;151.93;1080
Возрожд-п;W;04/03/13;00:00;156.89;151.93;154;280
Возрожд-п;W;11/03/13;00:00;156.19;146.03;147;2340
Возрожд-п;W;18/03/13;00:00;147.89;138;138.04;3670
Возрожд-п;W;25/03/13;00:00;144.67;131;144.67;2140
Возрожд-п;W;01/04/13;00:00;145.2;136.05;140;1730
Возрожд-п;W;08/04/13;00:00;140.93;128.22;128.22;5480
Возрожд-п;W;15/04/13;00:00;131.99;122;124.52;2200
Возрожд-п;W;22/04/13;00:00;135.45;123.08;128.3;990
Возрожд-п;W;29/04/13;00:00;133.3;123.51;132.67;560
Возрожд-п;W;06/05/13;00:00;132.31;126.3;129.94;550
Возрожд-п;W;13/05/13;00:00;137.85;124.78;134;1520
Возрожд-п;W;20/05/13;00:00;139.2;120;132.5;2090
Возрожд-п;W;27/05/13;00:00;132.83;129.23;130.6;680
Возрожд-п;W;03/06/13;00:00;131.98;127.15;131.64;590
Возрожд-п;W;10/06/13;00:00;140;128.19;131.13;850
Возрожд-п;W;17/06/13;00:00;135.1;125.35;135.1;1050
Возрожд-п;W;24/06/13;00:00;138.96;132;132;790
Возрожд-п;W;01/07/13;00:00;134.99;130;132.29;680
Возрожд-п;W;08/07/13;00:00;138.16;125.99;132.97;2160
Возрожд-п;W;15/07/13;00:00;136.85;127;130.67;4430
Возрожд-п;W;22/07/13;00:00;137.77;124.04;131.32;2580
Возрожд-п;W;29/07/13;00:00;136.59;107.15;133.15;4080
Возрожд-п;W;05/08/13;00:00;134.11;127.24;132.91;360
Возрожд-п;W;12/08/13;00:00;133.96;130;133.33;1150
Возрожд-п;W;19/08/13;00:00;134.55;128.02;131.82;1570
Возрожд-п;W;26/08/13;00:00;132.13;128.96;129.99;2780
Возрожд-п;W;02/09/13;00:00;131.5;129;129.06;700
Возрожд-п;W;09/09/13;00:00;131.44;128.03;129.49;250
Возрожд-п;W;16/09/13;00:00;127.77;123.21;124.35;2560
Возрожд-п;W;23/09/13;00:00;128;121.25;128;2260
Возрожд-п;W;30/09/13;00:00;132.07;122.3;129.58;490
Возрожд-п;W;07/10/13;00:00;132.49;123.82;131.48;2580
Возрожд-п;W;14/10/13;00:00;130.97;120;128.97;3060
Возрожд-п;W;21/10/13;00:00;130.48;125.01;125.01;4290
Возрожд-п;W;28/10/13;00:00;127.66;122;125;600
Возрожд-п;W;04/11/13;00:00;135.01;113.11;120.56;3110
Возрожд-п;W;11/11/13;00:00;124.46;114.12;116;2540
Возрожд-п;W;18/11/13;00:00;122.8;115.05;119.77;2880
Возрожд-п;W;25/11/13;00:00;117.35;113.26;116.84;2430
Возрожд-п;W;02/12/13;00:00;115.43;110.01;114.99;2540
Возрожд-п;W;09/12/13;00:00;118.56;112.5;115.48;1560
Возрожд-п;W;16/12/13;00:00;120;114.48;119;1550
Возрожд-п;W;23/12/13;00:00;121.49;114.16;119;3010
Возрожд-п;W;30/12/13;00:00;120.04;120;120.04;180
Возрожд-п;W;06/01/14;00:00;125;118.15;118.15;880
Возрожд-п;W;13/01/14;00:00;121.39;116.25;117;340
Возрожд-п;W;20/01/14;00:00;127.97;115;120;2100
Возрожд-п;W;27/01/14;00:00;120.66;116.01;119;100
Возрожд-п;W;03/02/14;00:00;119.44;114.18;114.4;2060
Возрожд-п;W;10/02/14;00:00;118.94;113.85;118.94;1570
Возрожд-п;W;17/02/14;00:00;115.97;113.26;114;3940
Возрожд-п;W;24/02/14;00:00;114.73;113;114.24;1970
Возрожд-п;W;03/03/14;00:00;113.78;101.04;110;4720
Возрожд-п;W;10/03/14;00:00;111.98;97.02;98.49;4370
Возрожд-п;W;17/03/14;00:00;109.99;98;102.6;880
Возрожд-п;W;24/03/14;00:00;106.65;99.99;102.01;1850
Возрожд-п;W;31/03/14;00:00;107.09;102.58;104.84;350
Возрожд-п;W;07/04/14;00:00;106;101;106;640
Возрожд-п;W;14/04/14;00:00;106.98;101.5;106.98;12210
Возрожд-п;W;21/04/14;00:00;103.48;100.03;102.49;500
Возрожд-п;W;28/04/14;00:00;102;99;101.34;290
Возрожд-п;W;05/05/14;00:00;101.4;100;101.4;30
Возрожд-п;W;12/05/14;00:00;114.93;101.5;106;2260
Возрожд-п;W;19/05/14;00:00;114.98;104;105;2170
Возрожд-п;W;26/05/14;00:00;124.99;100;107.02;7190
Возрожд-п;W;02/06/14;00:00;108.13;103.01;107.41;1450
Возрожд-п;W;09/06/14;00:00;108.04;102.85;107;790
Возрожд-п;W;16/06/14;00:00;110;102.91;102.91;1030
Возрожд-п;W;23/06/14;00:00;112.7;104.01;110.89;1240
Возрожд-п;W;30/06/14;00:00;112.7;105.05;106.17;320
Возрожд-п;W;07/07/14;00:00;114;101.37;104.01;840
Возрожд-п;W;14/07/14;00:00;107;104.01;106.98;210
Возрожд-п;W;21/07/14;00:00;107.57;101.04;107.57;430
Возрожд-п;W;28/07/14;00:00;107.47;100.28;100.85;1500
Возрожд-п;W;04/08/14;00:00;105.46;93.9;97.49;6540
Возрожд-п;W;11/08/14;00:00;100;85;87;14030
Возрожд-п;W;18/08/14;00:00;95.95;88;93;3160
Возрожд-п;W;25/08/14;00:00;97.99;91.2;96.99;860
Возрожд-п;W;01/09/14;00:00;98;85;92.92;10280
Возрожд-п;W;08/09/14;00:00;99;91.07;97.95;1180
Возрожд-п;W;15/09/14;00:00;99;92.51;97.88;580
Возрожд-п;W;22/09/14;00:00;110;93.01;103.86;8380
Возрожд-п;W;29/09/14;00:00;109.87;95;103.5;2140
Возрожд-п;W;06/10/14;00:00;104.5;99.5;103.5;1160
Возрожд-п;W;13/10/14;00:00;105;90.5;105;3200
Возрожд-п;W;20/10/14;00:00;104;93;99;700
Возрожд-п;W;27/10/14;00:00;102.5;91.5;98.5;1760
Возрожд-п;W;03/11/14;00:00;105;97.5;103;1410
Возрожд-п;W;10/11/14;00:00;103;90;90;36920
Возрожд-п;W;17/11/14;00:00;94;89;93;2030
Возрожд-п;W;24/11/14;00:00;94.5;92;93.5;1300
Возрожд-п;W;01/12/14;00:00;93.5;91.5;92;1840
Возрожд-п;W;08/12/14;00:00;92;80;82.5;6740
Возрожд-п;W;15/12/14;00:00;86;55.5;72;6930
Возрожд-п;W;22/12/14;00:00;72.5;67.5;70;6380
Возрожд-п;W;29/12/14;00:00;70.5;63;70.5;820
Возрожд-п;W;05/01/15;00:00;74.5;68.5;70;790
Возрожд-п;W;12/01/15;00:00;72;66;71;470
Возрожд-п;W;19/01/15;00:00;72;67;72;2390
Возрожд-п;W;26/01/15;00:00;77.5;69;74;6000
Возрожд-п;W;02/02/15;00:00;88;72.5;85;10470
Возрожд-п;W;09/02/15;00:00;90;83;85.5;7260
Возрожд-п;W;16/02/15;00:00;100.5;84;92.5;4890
Возрожд-п;W;23/02/15;00:00;96.5;78.5;88;4140
Возрожд-п;W;02/03/15;00:00;94;86;90.5;4220
Возрожд-п;W;09/03/15;00:00;94.5;89;89;710
Возрожд-п;W;16/03/15;00:00;92.5;83;87;790
Возрожд-п;W;23/03/15;00:00;90;83.5;90;260
Возрожд-п;W;30/03/15;00:00;91;82;83.5;580
Возрожд-п;W;06/04/15;00:00;87;73.5;76.5;15880
Возрожд-п;W;13/04/15;00:00;79.5;73;75.5;11330
Возрожд-п;W;20/04/15;00:00;77;70;74;9250
Возрожд-п;W;27/04/15;00:00;74.5;70.5;72.5;2560
Возрожд-п;W;04/05/15;00:00;76.5;73;75;1330
Возрожд-п;W;11/05/15;00:00;77;74;77;1540
Возрожд-п;W;18/05/15;00:00;83.5;74;78;8580
Возрожд-п;W;25/05/15;00:00;299;81;180.5;188840
Возрожд-п;W;01/06/15;00:00;262;162.5;239;177650
Возрожд-п;W;08/06/15;00:00;245;218;240;21170
Возрожд-п;W;15/06/15;00:00;241.5;211;212;22640
Возрожд-п;W;22/06/15;00:00;242;200;220;23500
Возрожд-п;W;29/06/15;00:00;237;201.5;237;19470
Возрожд-п;W;06/07/15;00:00;253.5;220;238;29710
Возрожд-п;W;13/07/15;00:00;284;234;263;28790
Возрожд-п;W;20/07/15;00:00;286;253;283.5;52920
Возрожд-п;W;27/07/15;00:00;295;264.5;271;29560
Возрожд-п;W;03/08/15;00:00;279;248.5;254;9010
Возрожд-п;W;10/08/15;00:00;256;205;220;26890
Возрожд-п;W;17/08/15;00:00;228.5;193.5;204.5;29190
Возрожд-п;W;24/08/15;00:00;220;182;202;12680
Возрожд-п;W;31/08/15;00:00;250;188;213;41090
Возрожд-п;W;07/09/15;00:00;213.5;195.5;200.5;65950
Возрожд-п;W;14/09/15;00:00;200;187;188;14450
Возрожд-п;W;21/09/15;00:00;192;174;184;4750
Возрожд-п;W;28/09/15;00:00;184;162;163.5;8850
Возрожд-п;W;05/10/15;00:00;166;148;153;15410
Возрожд-п;W;12/10/15;00:00;175.5;150;164.5;11130
Возрожд-п;W;19/10/15;00:00;176;145;167;7050
Возрожд-п;W;26/10/15;00:00;170;160;162;5490
Возрожд-п;W;02/11/15;00:00;180.5;160.5;168.5;4510
Возрожд-п;W;09/11/15;00:00;283;165;178;155580
Возрожд-п;W;16/11/15;00:00;187.5;166;175.5;20930
Возрожд-п;W;23/11/15;00:00;215;171;189;25320
Возрожд-п;W;30/11/15;00:00;193;171;175;11720
Возрожд-п;W;07/12/15;00:00;175.5;166;169;3990
Возрожд-п;W;14/12/15;00:00;169;155.5;160;9520
Возрожд-п;W;21/12/15;00:00;170.5;155.5;160;5530
Возрожд-п;W;28/12/15;00:00;159;147;152;7480
Возрожд-п;W;04/01/16;00:00;163;148.5;155;10780
Возрожд-п;W;11/01/16;00:00;162;141.5;145.5;15590
Возрожд-п;W;18/01/16;00:00;146;122.5;132.5;15370
Возрожд-п;W;25/01/16;00:00;137;128;130;5680
Возрожд-п;W;01/02/16;00:00;132;124.5;129;9520
Возрожд-п;W;08/02/16;00:00;131;118;119;6870
Возрожд-п;W;15/02/16;00:00;130;116;130;4090
Возрожд-п;W;22/02/16;00:00;130;120;122;1360
Возрожд-п;W;29/02/16;00:00;127;120;123.5;2740
Возрожд-п;W;07/03/16;00:00;150;121;136.5;16280
Возрожд-п;W;14/03/16;00:00;152.5;128;133;16360
Возрожд-п;W;21/03/16;00:00;137;132;133;6780
Возрожд-п;W;28/03/16;00:00;141;128.5;138;7600
Возрожд-п;W;04/04/16;00:00;144.5;138.5;140;1140
Возрожд-п;W;11/04/16;00:00;143;137;140;1370
Возрожд-п;W;18/04/16;00:00;146.5;129;136;13970
Возрожд-п;W;25/04/16;00:00;142.5;136;141.5;5510
Возрожд-п;W;02/05/16;00:00;142;126;135;710
Возрожд-п;W;09/05/16;00:00;185.5;127;159.5;57800
Возрожд-п;W;16/05/16;00:00;164.5;141.5;147.5;15500
Возрожд-п;W;23/05/16;00:00;155;141;147.5;3240
Возрожд-п;W;30/05/16;00:00;146;138;143;1420
Возрожд-п;W;06/06/16;00:00;145;136;141.5;10840
Возрожд-п;W;13/06/16;00:00;142;135;141;1790
Возрожд-п;W;20/06/16;00:00;140.5;134;138;1080
Возрожд-п;W;27/06/16;00:00;143;134;139;5330
Возрожд-п;W;04/07/16;00:00;150;141;145;9240
Возрожд-п;W;11/07/16;00:00;146;142;146;19190
Возрожд-п;W;18/07/16;00:00;156;111;134.5;66330
Возрожд-п;W;25/07/16;00:00;150;135;144;30040
Возрожд-п;W;01/08/16;00:00;155;142.5;147;12550
Возрожд-п;W;08/08/16;00:00;199;147.5;154;35330
Возрожд-п;W;15/08/16;00:00;164;151;155.5;13350
Возрожд-п;W;22/08/16;00:00;177.5;152.5;165;6110
Возрожд-п;W;29/08/16;00:00;166;162;164.5;550
Возрожд-п;W;05/09/16;00:00;167.5;156;160;2050
Возрожд-п;W;12/09/16;00:00;160.5;146.5;158;720
Возрожд-п;W;19/09/16;00:00;158.5;149.5;156;2180
Возрожд-п;W;26/09/16;00:00;175;150.5;157;6520
Возрожд-п;W;03/10/16;00:00;159.5;149.5;159.5;2830
Возрожд-п;W;10/10/16;00:00;180.5;157;162.5;34700
Возрожд-п;W;17/10/16;00:00;166.5;153;164;300
Возрожд-п;W;24/10/16;00:00;165;154;158;6660
Возрожд-п;W;31/10/16;00:00;169;155;161.5;10890
Возрожд-п;W;07/11/16;00:00;172.5;150;165;11810
Возрожд-п;W;14/11/16;00:00;170;166;167;1160
Возрожд-п;W;21/11/16;00:00;171.5;160;170.5;36890
Возрожд-п;W;28/11/16;00:00;174;167;170;1010
Возрожд-п;W;05/12/16;00:00;176.5;168;174;4940
Возрожд-п;W;12/12/16;00:00;187;172;186.5;17180
Возрожд-п;W;19/12/16;00:00;195.5;172.5;176.5;5330
Возрожд-п;W;26/12/16;00:00;181;159;176;3530
Возрожд-п;W;02/01/17;00:00;179.5;177;178;40
Возрожд-п;W;09/01/17;00:00;189;173.5;186.5;620
Возрожд-п;W;16/01/17;00:00;194.5;170.5;175.5;2980
Возрожд-п;W;23/01/17;00:00;183;175;183;1360
Возрожд-п;W;30/01/17;00:00;185;177;180;550
Возрожд-п;W;06/02/17;00:00;194;170;184.5;5110
Возрожд-п;W;13/02/17;00:00;193;176.5;179.5;930
Возрожд-п;W;20/02/17;00:00;182.5;167;171;1300
Возрожд-п;W;27/02/17;00:00;175;161;170;7640
Возрожд-п;W;06/03/17;00:00;179.5;168;173.5;7700
Возрожд-п;W;13/03/17;00:00;177.5;163;163.5;400
Возрожд-п;W;20/03/17;00:00;173;152;171.5;460
Возрожд-п;W;27/03/17;00:00;172.5;161;164;720
Возрожд-п;W;03/04/17;00:00;190;164;166.5;2500
Возрожд-п;W;10/04/17;00:00;168.5;160.5;166.5;910
Возрожд-п;W;17/04/17;00:00;167;159;162.5;1470
Возрожд-п;W;24/04/17;00:00;177;156;166;1100
Возрожд-п;W;01/05/17;00:00;164;146.5;162;160
Возрожд-п;W;08/05/17;00:00;161.5;149;161.5;790
Возрожд-п;W;15/05/17;00:00;158.5;146.5;147;2390
Возрожд-п;W;22/05/17;00:00;165;140;163;3290
Возрожд-п;W;29/05/17;00:00;168;145;150;8360
Возрожд-п;W;05/06/17;00:00;163;147;152;1450
Возрожд-п;W;12/06/17;00:00;153;146;146;1240
Возрожд-п;W;19/06/17;00:00;150;134;150;24670
Возрожд-п;W;26/06/17;00:00;170;147.5;152;2010
Возрожд-п;W;03/07/17;00:00;166.5;152;164.5;3200
Возрожд-п;W;10/07/17;00:00;169.5;151;154.5;980
Возрожд-п;W;17/07/17;00:00;156.5;151;151.5;1800
Возрожд-п;W;24/07/17;00:00;158;147.5;154;14070
Возрожд-п;W;31/07/17;00:00;159;150;159;3510
Возрожд-п;W;07/08/17;00:00;158.5;142;156;2410
Возрожд-п;W;14/08/17;00:00;170;151;160.5;4830
Возрожд-п;W;21/08/17;00:00;169;156;168;1920
Возрожд-п;W;28/08/17;00:00;174;160;171.5;2540
Возрожд-п;W;04/09/17;00:00;178;144;159.5;122630
Возрожд-п;W;11/09/17;00:00;188;150;166;234760
Возрожд-п;W;18/09/17;00:00;165;153;155;56190
Возрожд-п;W;25/09/17;00:00;158.5;149;149.5;19410
Возрожд-п;W;02/10/17;00:00;154.5;148.5;148.5;4380
Возрожд-п;W;09/10/17;00:00;155;147.5;154.5;12290
Возрожд-п;W;16/10/17;00:00;162.5;151;161.5;50500
Возрожд-п;W;23/10/17;00:00;162;152;159;25490
Возрожд-п;W;30/10/17;00:00;159;152.5;157.5;8000
Возрожд-п;W;06/11/17;00:00;160;153;157;3940
Возрожд-п;W;13/11/17;00:00;162.5;153;156;29280
Возрожд-п;W;20/11/17;00:00;161;153;157;10250
Возрожд-п;W;27/11/17;00:00;161;153;158.5;19660
Возрожд-п;W;04/12/17;00:00;166;156.5;160;19400
Возрожд-п;W;11/12/17;00:00;165.5;155.5;158;7170
Возрожд-п;W;18/12/17;00:00;164.5;148.5;153.5;17950
Возрожд-п;W;25/12/17;00:00;155;140.5;148;9110
Возрожд-п;W;01/01/18;00:00;151;148;150.5;1270
Возрожд-п;W;08/01/18;00:00;156.5;149.5;156.5;3770
Возрожд-п;W;15/01/18;00:00;196.5;150;190;29150
Возрожд-п;W;22/01/18;00:00;244.5;179.5;186;72310
Возрожд-п;W;29/01/18;00:00;189.5;165.5;186;22360
Возрожд-п;W;05/02/18;00:00;220;176.5;185.5;11620
Возрожд-п;W;12/02/18;00:00;184;175;176.5;5100
Возрожд-п;W;19/02/18;00:00;214;173.5;190.5;10780
Возрожд-п;W;26/02/18;00:00;198.5;190;192.5;1090
Возрожд-п;W;05/03/18;00:00;192;175.5;187;5500
Возрожд-п;W;12/03/18;00:00;189.5;168.5;173.5;10450
Возрожд-п;W;19/03/18;00:00;174.5;166.5;169.5;21200
Возрожд-п;W;26/03/18;00:00;181;165.5;169;5130
Возрожд-п;W;02/04/18;00:00;178;167;171.5;1350
Возрожд-п;W;09/04/18;00:00;172;130;151;21170
Возрожд-п;W;16/04/18;00:00;162.5;143.5;161;4670
Возрожд-п;W;23/04/18;00:00;160.5;149.5;157.5;4870
Возрожд-п;W;30/04/18;00:00;159.5;151;155;220
Возрожд-п;W;07/05/18;00:00;158;153;155;390
Возрожд-п;W;14/05/18;00:00;155;149;152.5;670
